Sex,Age,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
2,9,0.001692583,0.001963416,0.002143245,0.002262503,0.002265175,0.002213225,0.002076862,0.001900153,0.001731617,0.00160108,0.001505128,0.001397842
2,10,0.001268124,0.001478715,0.001625212,0.001621765,0.001616657,0.001574072,0.001454368,0.001351919,0.00125901,0.001204737,0.001176054,0.001089819
2,11,0.00112112,0.001295154,0.001386384,0.001390016,0.001347596,0.001261241,0.00116971,0.001066146,0.001001263,0.000950702,0.000908957,0.000873887
2,12,0.000942349,0.001078961,0.001173102,0.001210157,0.001225559,0.001192141,0.001141893,0.001064268,0.001017123,0.00097867,0.000949998,0.00092053
2,13,0.000852666,0.000950523,0.001029767,0.001071224,0.001113474,0.001124905,0.001109633,0.0010596,0.00102844,0.001001413,0.000981137,0.000963797
2,14,0.000830735,0.00089592,0.000956225,0.000982973,0.001025112,0.001064267,0.001072716,0.001049313,0.001035,0.001019803,0.001007549,0.000997177
2,15,0.000869489,0.000909651,0.000953123,0.000958192,0.000984846,0.001037514,0.001056646,0.001052954,0.001055477,0.001054237,0.00104808,0.001042189
2,16,0.000976766,0.000995742,0.001023858,0.001002881,0.001003677,0.001048231,0.001053126,0.001051159,0.001066619,0.00107071,0.001065265,0.001072509
2,17,0.001176145,0.001171393,0.001182465,0.001133966,0.001107749,0.001129473,0.001105839,0.001094755,0.001102376,0.001104705,0.001097403,0.001107821
2,18,0.001512369,0.00147236,0.001457455,0.001378366,0.00132959,0.00132551,0.001276669,0.001253294,0.001240356,0.001233158,0.001223958,0.001221296
2,19,0.002056681,0.001954265,0.001889483,0.001761776,0.001681371,0.001636479,0.001554329,0.001507528,0.001474566,0.001447299,0.001427451,0.001417772
2,20,0.002895469,0.002692058,0.002531497,0.002319264,0.002182319,0.002073467,0.001939043,0.001852986,0.001790072,0.001738153,0.001697809,0.001679849
2,21,0.004106464,0.003756149,0.003443423,0.003085052,0.002848124,0.002644682,0.002430372,0.002278289,0.002173229,0.002084871,0.002017309,0.001988736
